timestamp,open,high,low,close,open_interest,funding_rate
2020-02-20T00:00:00Z,9594.6499999999996,9699,9400,9596.4200000000001,475384235.30000001,0.0001
2020-02-21T00:00:00Z,9597.2099999999991,9755.5100000000002,9550.2099999999991,9677.0499999999993,484242326.60000002,0.0001
2020-02-22T00:00:00Z,9677.0499999999993,9709.1700000000001,9560.0200000000004,9650.8600000000006,490147720.80000001,0.00029662999999999998
2020-02-23T00:00:00Z,9650.8500000000004,9990,9645,9936.3999999999996,507863903.5,0.00048774000000000002
2020-02-24T00:00:00Z,9936.3999999999996,9990,9473.5599999999995,9656.1299999999992,507863903.5,0.00032389000000000002
2020-02-25T00:00:00Z,9655.5200000000004,9675,9250,9315.8400000000001,478336932.39999998,0.00036170000000000001
2020-02-26T00:00:00Z,9316.4799999999996,9377.4400000000005,8633.6299999999992,8785.25,448809961.19999999,0.00017363
2020-02-27T00:00:00Z,8786,8971.7700000000004,8531,8823.2099999999991,451762658.39999998,0.0001
2020-02-28T00:00:00Z,8823.25,8900,8445,8692.9099999999999,439951869.89999998,0.00061536000000000002
2020-02-29T00:00:00Z,8690.7999999999993,8790,8523.5499999999993,8523.6100000000006,448809961.19999999,0.00049317000000000002
2020-03-01T00:00:00Z,8523.6100000000006,8750,8411,8531.8799999999992,445857264.10000002,0.0001872
2020-03-02T00:00:00Z,8530.2999999999993,8965.75,8498,8915.2399999999998,442904567,0.0001
2020-03-03T00:00:00Z,8911.1800000000003,8919.6499999999996,8651,8760.0699999999997,439951869.89999998,0.0001
2020-03-04T00:00:00Z,8760.0699999999997,8848.2900000000009,8660,8750.8700000000008,460620749.69999999,0.0001
2020-03-05T00:00:00Z,8750.9899999999998,9159.4200000000001,8746.5400000000009,9054.6800000000003,463573446.80000001,0.00020373
2020-03-06T00:00:00Z,9054.6399999999994,9170,8985.5,9131.8799999999992,472431538.10000002,0.00039476000000000002
2020-03-07T00:00:00Z,9130.8899999999994,9188,8835,8886.6599999999999,428141081.39999998,0.00054684999999999998
